Date,Timestamp,Symbol,Open,High,Low,Close,Volume,MA_7,MA_30,Daily_Return,Percentage_Change,Volatility_30,Highest_30,Lowest_30,Average_Price
2026-07-20,1784554200,AAPL,333.0249938964844,333.7099914550781,323.70001220703125,326.5899963378906,51014085,326.5899963378906,326.5899963378906,,,,333.7099914550781,323.70001220703125,326.5899963378906
2026-07-21,1784651559,AAPL,323.3450012207031,329.6000061035156,322.22039794921875,328.5,17388863,327.5449981689453,327.5449981689453,0.005848322617124202,0.5848322617124202,,333.7099914550781,322.22039794921875,327.5449981689453
2026-07-22,1784731807,AAPL,327.875,328.99951171875,324.07000732421875,325.0450134277344,7956323,326.711669921875,326.711669921875,-0.01051746292927136,-1.051746292927136,0.22108958799655468,333.7099914550781,322.22039794921875,326.711669921875
2026-07-23,1784813400,AAPL,321.7300109863281,323.29998779296875,319.3500061035156,321.6600036621094,40795222,325.4487533569336,325.4487533569336,-0.010413972298570773,-1.0413972298570773,0.17995084385140495,333.7099914550781,319.3500061035156,325.4487533569336
2026-07-24,1784899800,AAPL,322.0400085449219,334.3699951171875,321.6199951171875,333.0199890136719,47402209,326.96300048828124,326.96300048828124,0.035316748188238156,3.5316748188238156,0.41244821878058047,334.3699951171875,319.3500061035156,326.96300048828124
2026-07-27,1785159000,AAPL,334.8999938964844,339.57000732421875,334.0199890136719,336.9100036621094,45246885,328.62083435058594,328.62083435058594,0.011681024493330971,1.1681024493330971,0.3616446593129399,339.57000732421875,319.3500061035156,328.62083435058594
2026-07-28,1785245400,AAPL,340.0299987792969,342.8900146484375,335.6000061035156,340.0799865722656,50765695,330.2578560965402,330.2578560965402,0.009408990162653286,0.9408990162653286,0.3243247450000327,342.8900146484375,319.3500061035156,330.2578560965402
2026-07-29,1785331800,AAPL,339.69000244140625,344.56988525390625,337.35009765625,338.19000244140625,48852885,331.91499982561385,331.24937438964844,-0.005557469435084728,-0.5557469435084728,0.309404106772295,344.56988525390625,319.3500061035156,331.24937438964844
2026-07-30,1785418200,AAPL,333.1300048828125,334.75,329.5899963378906,333.42999267578125,55501839,332.6192844935826,331.49166531032984,-0.014074957069287408,-1.4074957069287408,0.31439936104778793,344.56988525390625,319.3500061035156,331.49166531032984
2026-07-31,1785504600,AAPL,304.8099975585937,310.69000244140625,300.0,308.9100036621094,127398021,330.3142830984933,329.23349914550784,-0.07353864245054431,-7.353864245054432,0.5677005408318212,344.56988525390625,300.0,329.23349914550784
2026-08-03,1785787201,AAPL,309.6700134277344,311.79998779296875,302.5599975585937,303.4200134277344,71988041,327.7085702078683,326.88681862571025,-0.01777213482662099,-1.7772134826620989,0.5401300714419933,344.56988525390625,300.0,326.88681862571025
2026-08-04,1785873601,AAPL,302.7250061035156,310.4200134277344,301.32000732421875,309.3800048828125,67778746,324.3314296177455,325.42791748046875,0.019642710405777475,1.9642710405777475,0.5348390496245742,344.56988525390625,300.0,325.42791748046875
2026-08-05,1785936600,AAPL,309.3599853515625,311.70819091796875,305.6700134277344,311.0,44330978,320.63000052315846,324.31807767427887,0.005236263144417164,0.5236263144417164,0.5127934117739439,344.56988525390625,300.0,324.31807767427887
2026-08-06,1786023000,AAPL,314.3399963378906,316.2893981933594,309.2300109863281,312.4100036621094,45392526,316.6771458217076,323.46750095912387,0.004533773833149013,0.4533773833149013,0.4929103507636647,344.56988525390625,300.0,323.46750095912387
2026-08-07,1786132801,AAPL,311.32000732421875,314.8099975585937,310.739990234375,313.3299865722656,34331108,313.12571498325894,322.7916666666667,0.0029447933784836344,0.29447933784836344,0.47457529999541925,344.56988525390625,300.0,322.7916666666667
2026-08-10,1786392002,AAPL,306.8299865722656,308.260009765625,304.6300048828125,308.260009765625,43391681,309.5300031389509,321.88343811035156,-0.0161809498736607,-1.61809498736607,0.4621492617734586,344.56988525390625,300.0,321.88343811035156
2026-08-11,1786455000,AAPL,307.75,309.9700012207031,302.7900085449219,304.9100036621094,34168163,308.9585745675223,320.88500078986675,-0.010867469011185404,-1.0867469011185404,0.4478396548469567,344.56988525390625,300.0,320.88500078986675
2026-08-12,1786564801,AAPL,305.1300048828125,305.6600036621094,300.57000732421875,302.25,38820559,308.7914297921317,319.84972296820746,-0.008723897642456846,-0.8723897642456846,0.4341664741015105,344.56988525390625,300.0,319.84972296820746
2026-08-13,1786627800,AAPL,304.25799560546875,306.0,302.04998779296875,305.260009765625,38492546,308.2028590611049,319.0818433259663,0.009958675816790663,0.9958675816790663,0.4260665429991743,344.56988525390625,300.0,319.0818433259663
2026-08-14,1786737601,AAPL,306.02801513671875,307.489990234375,304.29998779296875,305.92999267578125,26072932,307.4785723005022,318.424250793457,0.002194794236790587,0.2194794236790587,0.4148149943328468,344.56988525390625,300.0,318.424250793457
2026-08-17,1786996801,AAPL,306.2099914550781,307.6600036621094,302.9389953613281,305.5899963378906,32743947,306.50428553989957,317.81309581938245,-0.0011113534012042736,-0.11113534012042736,0.4038502510197122,344.56988525390625,300.0,317.81309581938245
2026-08-18,1787083202,AAPL,307.5299987792969,311.489990234375,305.739990234375,310.0299987792969,46451172,306.0328587123326,317.45931868119675,0.014529279409058127,1.4529279409058127,0.4004271313303162,344.56988525390625,300.0,317.45931868119675
2026-08-19,1787169601,AAPL,310.1300048828125,319.2799072265625,309.6000061035156,316.8299865722656,50009121,307.25714111328125,317.43195641559106,0.021933322000267097,2.1933322000267097,0.4030106821988959,344.56988525390625,300.0,317.43195641559106
2026-08-20,1787232600,AAPL,317.4549865722656,320.2799987792969,310.6499938964844,311.29998779296875,40891451,308.1699959891183,317.17645772298175,-0.017454152112068244,-1.7454152112068244,0.3990590499318719,344.56988525390625,300.0,317.17645772298175
2026-08-21,1787319000,AAPL,312.04998779296875,312.3800048828125,307.010009765625,309.3500061035156,42216056,309.1842825753348,316.86339965820315,-0.006263995393247401,-0.6263995393247401,0.39066363606012733,344.56988525390625,300.0,316.86339965820315
2026-08-24,1787601601,AAPL,311.4700012207031,313.3599853515625,309.9700012207031,310.3399963378906,34379936,309.90999494280135,316.6124995304988,0.0032002269754076718,0.3200226975407672,0.38296441406921583,344.56988525390625,300.0,316.6124995304988
2026-08-25,1787688001,AAPL,310.9349975585937,313.5799865722656,308.2099914550781,309.8999938964844,25666176,310.47713797433033,316.36388821072046,-0.0014178077160482694,-0.14178077160482694,0.37523032611712764,344.56988525390625,300.0,316.36388821072046
2026-08-26,1787751000,AAPL,310.29998779296875,315.42999267578125,308.79998779296875,313.45001220703125,33897800,311.5999973842076,316.2598212105887,0.011455367474878742,1.1455367474878742,0.3711696994821843,344.56988525390625,300.0,316.2598212105887
2026-08-27,1787837400,AAPL,310.54998779296875,315.3999938964844,309.3999938964844,314.5799865722656,32364000,312.24999564034596,316.20189587823273,0.003604958753321119,0.3604958753321119,0.36466753669634316,344.56988525390625,300.0,316.20189587823273
2026-08-28,1787947201,AAPL,317.0880126953125,322.3699951171875,315.4504089355469,319.70001220703125,38500185,312.65999930245533,316.31849975585936,0.01627575132974779,1.627575132974779,0.3633980466301363,344.56988525390625,300.0,316.31849975585936
2026-08-31,1788183000,AAPL,319.5599975585937,321.2349853515625,312.79998779296875,316.8500061035156,40667429,313.4528590611049,315.99383341471355,-0.008914626195478559,-0.8914626195478559,0.35826584882674506,344.56988525390625,300.0,316.3356451219128
2026-09-01,1788269400,AAPL,316.9800109863281,327.29998779296875,314.73699951171875,325.1300048828125,52432411,315.7071446010045,315.8815002441406,0.02613223487390992,2.613223487390992,0.36982780283445643,344.56988525390625,300.0,316.6104688644409
2026-09-02,1788355800,AAPL,326.8699951171875,328.3999938964844,323.5299987792969,324.9599914550781,33746700,317.79571533203125,315.8786661783854,-0.000522909067699362,-0.052290906769936196,0.3679426672745945,344.56988525390625,300.0,316.8634847005208
2026-07-20,1784554200,AMZN,248.75,252.88999938964844,248.1199951171875,249.9900054931641,30630782,249.9900054931641,249.9900054931641,,,,252.88999938964844,248.1199951171875,249.9900054931641
2026-07-21,1784651560,AMZN,249.1219940185547,249.33999633789065,246.72000122070312,247.384994506836,10873728,248.68750000000006,248.68750000000006,-0.010420460534768528,-1.0420460534768528,,252.88999938964844,246.72000122070312,248.68750000000006
2026-07-22,1784731807,AMZN,248.1300048828125,248.4499969482422,243.6100006103516,243.9750061035156,7812278,247.11666870117188,247.11666870117188,-0.013784135978490708,-1.3784135978490708,0.045440752959790165,252.88999938964844,243.6100006103516,247.11666870117188
2026-07-23,1784813400,AMZN,236.32000732421875,238.3498992919922,232.0516052246093,233.6600036621093,47358884,243.75250244140625,243.75250244140625,-0.042278930969796846,-4.227893096979685,0.3344034176160076,252.88999938964844,232.0516052246093,243.75250244140625
2026-07-24,1784899800,AMZN,234.3699951171875,234.9499969482422,231.3500061035156,232.1100006103516,33836532,241.42400207519532,241.42400207519532,-0.006633583101364304,-0.6633583101364304,0.31072715583620725,252.88999938964844,231.3500061035156,241.42400207519532
2026-07-27,1785159000,AMZN,235.6999969482422,235.88999938964844,230.9900054931641,231.38999938964844,34898916,239.75166829427084,239.75166829427084,-0.0031019827616640683,-0.31019827616640683,0.2987123942377039,252.88999938964844,230.9900054931641,239.75166829427084
2026-07-28,1785245400,AMZN,232.8500061035156,233.1100006103516,228.1000061035156,230.8600006103516,42368131,238.48143005371094,238.48143005371094,-0.002290499938177315,-0.2290499938177315,0.28564034600812455,252.88999938964844,228.1000061035156,238.48143005371094
2026-07-29,1785331800,AMZN,229.31500244140625,232.82000732421875,226.1600036621093,226.6499938964844,39985089,235.1471426827567,237.00250053405762,-0.0182361894773313,-1.82361894773313,0.2633925593245789,252.88999938964844,226.1600036621093,237.00250053405762
2026-07-30,1785418200,AMZN,233.25,239.82359313964844,231.0599975585937,235.5,78755052,233.44928632463728,236.83555603027344,0.0390470167299346,3.9047016729934603,0.4324200635288445,252.88999938964844,226.1600036621093,236.83555603027344
2026-07-31,1785504600,AMZN,264.9849853515625,273.2300109863281,262.05499267578125,271.5799865722656,125921078,237.39285496303015,240.30999908447265,0.15320588778032107,15.320588778032107,1.0987587453407395,273.2300109863281,226.1600036621093,240.30999908447265
2026-08-03,1785787201,AMZN,278.2900085449219,287.1600036621094,278.0,284.0199890136719,86041006,244.58713858468192,244.2836345325817,0.04580603526208682,4.580603526208682,1.0575157056280498,287.1600036621094,226.1600036621093,244.2836345325817
2026-08-04,1785873601,AMZN,276.0599975585937,281.07000732421875,275.82000732421875,277.4200134277344,69522809,251.05999755859375,247.04499944051108,-0.023237715094833633,-2.3237715094833633,1.026080935962091,287.1600036621094,226.1600036621093,247.04499944051108
2026-08-05,1785936600,AMZN,281.5899963378906,282.7900085449219,270.739990234375,272.6499938964844,42366662,256.95428248814176,249.01461439866287,-0.017194215631067156,-1.7194215631067156,0.9903807063616834,287.1600036621094,226.1600036621093,249.01461439866287
2026-08-06,1786023000,AMZN,272.7650146484375,275.4800109863281,271.0845031738281,272.260009765625,27906615,262.86856951032365,250.6749997820173,-0.001430347110176089,-0.1430347110176089,0.9496489280143999,287.1600036621094,226.1600036621093,250.6749997820173
