Date,Timestamp,Symbol,Open,High,Low,Close,Volume,MA_7,MA_30,Daily_Return,Percentage_Change,Volatility_30,Highest_30,Lowest_30,Average_Price
2026-07-21,1784651538,BNB-USD,570.7320556640625,579.0850219726562,570.6568603515625,573.989990234375,1139363840,573.989990234375,573.989990234375,,,,579.0850219726562,570.6568603515625,573.989990234375
2026-07-22,1784731773,BNB-USD,573.576416015625,574.6613159179688,567.3062744140625,570.6400146484375,963644352,572.3150024414062,572.3150024414062,-0.0058362961775162425,-0.5836296177516243,,579.0850219726562,567.3062744140625,572.3150024414062
2026-07-24,1784858939,BNB-USD,566.9332275390625,567.9297485351562,566.4502563476562,567.5399780273438,909396416,570.7233276367188,570.7233276367188,-0.005432560881668325,-0.5432560881668325,0.00545416350260941,579.0850219726562,566.4502563476562,570.7233276367188
2026-07-25,1784945293,BNB-USD,564.3399658203125,564.6529541015625,563.9617309570312,564.4099731445312,1017753600,569.1449890136719,569.1449890136719,-0.005515038594623323,-0.5515038594623323,0.004075313624681159,579.0850219726562,563.9617309570312,569.1449890136719
2026-07-28,1785204089,BNB-USD,565.7329711914062,566.4150390625,562.9300537109375,564.489990234375,988985344,568.2139892578125,568.2139892578125,0.00014177121888536703,0.014177121888536703,0.05489784943310998,579.0850219726562,562.9300537109375,568.2139892578125
2026-07-29,1785290668,BNB-USD,570.4873046875,572.2881469726562,569.8045654296875,569.4400024414062,963163264,568.4183247884115,568.4183247884115,0.008768999083537343,0.8768999083537343,0.12026612668061383,579.0850219726562,562.9300537109375,568.4183247884115
2026-07-30,1785376486,BNB-USD,571.3865966796875,574.2500610351562,570.5547485351562,575.0999755859375,965079040,569.3728463309152,569.3728463309152,0.009939542568602189,0.9939542568602189,0.1401292132761484,579.0850219726562,562.9300537109375,569.3728463309152
2026-07-31,1785463990,BNB-USD,592.0083618164062,593.1529541015625,588.8436279296875,589.0700073242188,1341548416,571.5271344866071,571.8349914550781,0.02429148379644408,2.429148379644408,0.21509411862646702,593.1529541015625,562.9300537109375,571.8349914550781
2026-08-01,1785550465,BNB-USD,586.4197387695312,589.3705444335938,586.4197387695312,589.1900024414062,1198473216,574.1771327427456,573.7633260091146,0.00020370264263247506,0.020370264263247506,0.2005864272797895,593.1529541015625,562.9300537109375,573.7633260091146
2026-08-04,1785808783,BNB-USD,588.7966918945312,591.4373168945312,588.44873046875,591.4600219726562,1020521536,577.5942818777902,575.5329956054687,0.0038527801249916838,0.3852780124991684,0.18766207310018895,593.1529541015625,562.9300537109375,575.5329956054687
2026-08-05,1785895130,BNB-USD,592.7556762695312,602.78564453125,592.7556762695312,602.7000122070312,1078966016,583.0642874581473,578.002724387429,0.019003803835949906,1.9003803835949906,0.20053560268275236,602.78564453125,562.9300537109375,578.002724387429
2026-08-06,1785981762,BNB-USD,593.220947265625,596.0695190429688,593.220947265625,593.5,1200174848,587.2085745675223,579.2941640218099,-0.015264662387083239,-1.5264662387083239,0.2230275182758741,602.78564453125,562.9300537109375,579.2941640218099
2026-08-07,1786069421,BNB-USD,591.6641235351562,593.3125,591.6641235351562,592.4400024414062,917878016,590.4942888532366,580.3053823617788,-0.0017860110507055271,-0.1786011050705527,0.2143523435721311,602.78564453125,562.9300537109375,580.3053823617788
2026-08-08,1786151426,BNB-USD,592.1923217773438,592.1923217773438,590.572509765625,590.72998046875,1371797504,592.7271466936384,581.0499965122768,-0.0028864053163347725,-0.28864053163347725,0.20734847495023967,602.78564453125,562.9300537109375,581.0499965122768
2026-08-11,1786410919,BNB-USD,598.6854248046875,599.7805786132812,598.6854248046875,600.0499877929688,1033596224,594.2957153320312,582.3166625976562,0.015777102284233457,1.5777102284233457,0.21081814496237516,602.78564453125,562.9300537109375,582.3166625976562
